nome;sexo;classe;arma;magia;vida
Aldric Dentebravo;M;GUERREIRO;Alabarda:8;;59
Aldric Luzprata;M;LADINO;Adaga Gemea:6;;42
Aldric Pelegris;M;MAGO;Cajado Arcano:4;Raio Congelante:10;31
Aldric Sombravale;M;MAGO;Bastao Etereo:5;Seta Arcana:8;37
Aldric Tremoco;M;LADINO;Besta de Mao:7;;51
Aldric Vaupedra;M;MAGO;Adaga Ritual:3;Seta Arcana:8;27
Aldric Ventolesto;M;LADINO;Besta de Mao:7;;39
Anya Cravorrubro;F;MAGO;Bastao Etereo:5;Raio Congelante:10;31
Anya Ostraval;F;LADINO;Adaga Gemea:6;;52
Anya Pedraforte;F;LADINO;Punhal Sombrio:5;;38
Anya Pelegris;F;CLERIGO;Maca Sagrada:6;Punicao Divina:11;52
Anya Sombravale;F;MAGO;Varinha Runica:3;Tempestade Eletrica:14;30
Aranha Gigante da Cripta;M;MONSTRO;Presa Venenosa:6;;69
Aranha Gigante Esquecido;F;MONSTRO;Cauda Espinhosa:8;Grito Aterrador:8;30
Aranha Gigante Petreo;M;MONSTRO;Presa Venenosa:6;Grito Aterrador:8;23
Aranha Gigante Selvagem;M;MONSTRO;Tentaculo:5;Grito Aterrador:8;88
Aranha Gigante Uivante;M;MONSTRO;Mandibula Brutal:9;Sopro Sombrio:10;50
Aranha Gigante Vermelho;F;MONSTRO;Mandibula Brutal:9;;28
Aranha Gigante Voraz;F;MONSTRO;Tentaculo:5;;41
Astrid Folhaverde;F;LADINO;Arco Curto:6;;47
Astrid Laminar;F;MAGO;Cajado Arcano:4;Seta Arcana:8;37
Astrid Quebrantosso;F;MAGO;Bastao Etereo:5;Seta Arcana:8;30
Astrid Riachoclaro;F;LADINO;Adaga Gemea:6;;51
Astrid Vaupedra;F;MAGO;Varinha Runica:3;Tempestade Eletrica:14;26
Baldric Aurivento;M;CLERIGO;Martelo da Fe:7;Escudo da Fe:7;59
Baldric Florsombria;M;CLERIGO;Maca Sagrada:6;Luz Curativa:9;53
Baldric Luzprata;M;LADINO;Punhal Sombrio:5;;47
Baldric Montelongo;M;LADINO;Punhal Sombrio:5;;54
Baldric Noitefria;M;GUERREIRO;Montante:10;;61
Baldric Ostraval;M;MAGO;Bastao Etereo:5;Raio Congelante:10;36
Baldric Pelegris;M;MAGO;Cajado Arcano:4;Seta Arcana:8;28
Baldric Riachoclaro;M;CLERIGO;Martelo da Fe:7;Luz Curativa:9;35
Baldric Tremoco;M;CLERIGO;Maca Sagrada:6;Punicao Divina:11;41
Baldric Urzevelha;M;MAGO;Adaga Ritual:3;Tempestade Eletrica:14;39
Baldric Ventolesto;M;LADINO;Arco Curto:6;;53
Basilisco da Cripta;M;MONSTRO;Garra Afiada:7;Grito Aterrador:8;90
Basilisco das Cavernas;F;MONSTRO;Presa Venenosa:6;Sopro Sombrio:10;87
Basilisco das Ruinas;M;MONSTRO;Mandibula Brutal:9;Grito Aterrador:8;60
Basilisco do Pantano;F;MONSTRO;Presa Venenosa:6;;41
Basilisco Errante;M;MONSTRO;Garra Afiada:7;Grito Aterrador:8;34
Basilisco Faminto;F;MONSTRO;Mandibula Brutal:9;;61
Basilisco Maldito;F;MONSTRO;Tentaculo:5;;32
Basilisco Negro;M;MONSTRO;Cauda Espinhosa:8;Grito Aterrador:8;66
Basilisco Sombrio;M;MONSTRO;Tentaculo:5;;73
